job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Accident Reconstruction Specialist,,,,,4.00%,3.80%,3.30%,11.09%,,,,,,,,,,
Account Clerk,,,,,4.68%,5.18%,4.68%,14.54%,,,,,,,,,,
Account Clerk Specialist,,,,,4.72%,5.22%,4.72%,14.65%,,,,,,,,,,
Accounting Technician,,,,,4.35%,4.85%,4.35%,13.54%,,,,,,,,,,
Administrative Secretary I,,,,,4.00%,4.28%,3.78%,12.06%,,,,,,,,,,
Administrative Secretary II,,,,,4.11%,4.61%,4.11%,12.84%,,,,,,,,,,
Admissions Clerk,Psychiatric Hospital Location Premium,5.00%,,,4.76%,5.26%,4.76%,14.79%,,,,,,,,,,
Adult Protective Services Specialist,,,,,7.17%,7.67%,7.17%,22.00%,,,,,,,,,,
Adult Protective Services Supervisor,,,,,5.60%,6.10%,5.60%,17.31%,,,,,,,,,,
Aging Program Specialist I,Add to Boot Allowance,$300/year,,,4.94%,5.44%,4.94%,15.31%,,,,,,,,,,
Aging Program Specialist II,Add to Boot Allowance,$300/year,,,5.76%,6.22%,5.72%,17.71%,,,,,,,,,,
Aging Program Specialist III,Add to Boot Allowance,$300/year,,,4.10%,4.39%,3.89%,12.38%,,,,,,,,,,
Agricultural Civil Actions Investigator,,,,,4.83%,5.33%,4.83%,15.00%,,,,,,,,,,
Agricultural Scientist,,,,,4.00%,3.96%,3.46%,11.42%,,,,,,,,,,
Agricultural Standards Inspector,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Air Pollution Control Aide,,,,,4.00%,4.48%,3.98%,12.46%,,,,,,,,,,
Air Pollution Control Civil Actions Investigator,,,,,4.81%,5.31%,4.81%,14.94%,,,,,,,,,,
Air Pollution Control District Business Program Specialist,,,,,4.52%,5.02%,4.52%,14.06%,,,,,,,,,,
Air Pollution Test Technician (T),,,,,4.68%,5.18%,4.68%,14.55%,,,,,,,,,,
Air Quality Inspector I,Add 2 additional 5% steps to salary schedule,up to 10%,,,5.04%,5.54%,5.04%,15.61%,,,,,,,,,,
Air Quality Inspector II,Add 2 additional 5% steps to salary schedule,up to 10%,,,4.41%,4.91%,4.41%,13.72%,,,,,,,,,,
Air Quality Specialist,Add 3 additional 5% steps to salary schedule,up to 15%,,,4.00%,4.28%,3.78%,12.06%,,,,,,,,,,
Alcohol & Drug Program Specialist,Add to Locked Facilities Premium (where applicable),50 cents/hour,,,4.00%,4.33%,3.83%,12.15%,,,,,,,,,,
Animal Care Attendant,Add to Boot Allowance,$300/year,,,5.26%,5.76%,5.26%,16.28%,,,,,,,,,,
Animal Control Officer,Add to Boot Allowance,$300/year,,,4.08%,4.58%,4.08%,12.73%,,,,,,,,,,
Animal Medical Operations Manager,,,,,5.58%,6.08%,5.58%,17.25%,,,,,,,,,,
Animal Services Dispatcher,,,,,4.00%,4.09%,3.59%,11.67%,,,,,,,,,,
Animal Services Representative,,,,,4.00%,4.28%,3.78%,12.05%,,,,,,,,,,
Appraiser I,,,,,4.98%,5.48%,4.98%,15.43%,,,,,,,,,,
Appraiser II,,,,,4.44%,4.94%,4.44%,13.82%,,,,,,,,,,
Appraiser III,,,,,4.27%,4.77%,4.27%,13.30%,,,,,,,,,,
Appraiser IV,,,,,4.31%,4.81%,4.31%,13.42%,,,,,,,,,,
Appraiser Trainee,,,,,5.35%,5.85%,5.35%,16.54%,,,,,,,,,,
Assessment Clerk,,,,,5.31%,5.81%,5.31%,16.44%,,,,,,,,,,
Assistant Air Pollution Chemist,,,,,4.34%,4.84%,4.34%,13.52%,,,,,,,,,,
Assistant Air Resources Specialist,,,,,4.55%,5.05%,4.55%,14.14%,,,,,,,,,,
Assistant Airport Manager,,,,,4.25%,4.75%,4.25%,13.26%,,,,,,,,,,
Assistant APC Engineer,Add 2 additional 5% steps to salary schedule,up to 10%,,,4.49%,4.99%,4.49%,13.98%,,,,,,,,,,
Assistant Child Support Officer,,,,,5.52%,6.02%,5.52%,17.06%,,,,,,,,,,
Assistant Division Chief Assessor/Recorder/County Clerk,,,,,4.37%,4.87%,4.37%,13.62%,,,,,,,,,,
Assistant Engineer,,,,,8.27%,8.77%,8.27%,25.31%,,,,,,,,,,
Assistant Health Physicist,,,,,5.01%,5.51%,5.01%,15.52%,,,,,,,,,,
Assistant Manager Sheriff's Food Services,,,,,4.19%,4.69%,4.19%,13.06%,,,,,,,,,,
Assistant Meteorologist,Add 2 additional 5% steps to salary schedule,up to 10%,,,5.36%,5.86%,5.36%,16.57%,,,,,,,,,,
Assistant Procurement Specialist,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.73%,5.23%,4.73%,14.68%,,,,,,,,,,
Assistant Real Property Agent,,,,,5.51%,6.01%,5.51%,17.02%,,,,,,,,,,
Assistant Surveyor,,,,,5.84%,6.34%,5.84%,18.01%,,,,,,,,,,
Assistant Transportation Specialist,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Assistant Weapons Coordinator,,,,,4.00%,3.68%,3.18%,10.85%,,,,,,,,,,
Associate Accountant,,,,,4.31%,4.81%,4.31%,13.44%,,,,,,,,,,
Associate Air Pollution Chemist,,,,,4.44%,4.94%,4.44%,13.81%,,,,,,,,,,
Associate Air Pollution Control Engineer,add 2 additional top steps to the salary schedule,up to 10%,,,4.37%,4.87%,4.37%,13.60%,,,,,,,,,,
Associate Air Resources Specialist,,,,,4.72%,5.22%,4.72%,14.65%,,,,,,,,,,
Associate Health Physicist,,,,,4.62%,5.12%,4.62%,14.37%,,,,,,,,,,
Associate Meteorologist,add 2 additional top steps to the salary schedule,up to 10%,,,5.90%,6.40%,5.90%,18.19%,,,,,,,,,,
Associate Real Property Agent,,,,,4.12%,4.62%,4.12%,12.85%,,,,,,,,,,
Associate Transportation Specialist,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Audit-Appraiser I,,,,,4.07%,4.57%,4.07%,12.70%,,,,,,,,,,
Audit-Appraiser II,,,,,4.00%,4.16%,3.66%,11.82%,,,,,,,,,,
Audit-Appraiser III,,,,,4.00%,3.61%,3.11%,10.72%,,,,,,,,,,
Audit-Appraiser IV,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Behavorial Health Program Manager,Additional Ongoing Premium that takes effect in Year 1 to offset Bargaining Unit Change,3%,,,4.70%,5.20%,4.70%,14.60%,,,,,,,,,,
Biostatistician,,,,,4.00%,3.97%,3.47%,11.45%,,,,,,,,,,
Broadcast Engineer,,,,,4.00%,3.92%,3.42%,11.33%,,,,,,,,,,
Building Maintenance Supervisor,,,,,4.00%,4.24%,3.74%,11.97%,,,,,,,,,,
Building/Enforcement Supervisor,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.26%,4.76%,4.26%,13.29%,,,,,,,,,,
Cadastral Supervisor,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Cadastral Technician,,,,,4.17%,4.67%,4.17%,13.02%,,,,,,,,,,
Cashier,,,,,4.26%,4.76%,4.26%,13.29%,,,,,,,,,,
Certified Nurse Assistant,Psychiatric Hospital Location Premium,5.00%,,,5.17%,5.67%,5.17%,16.00%,,,,,,,,,,
Certified Nurse Practitioner,,,,,6.29%,6.79%,6.29%,19.37%,,,,,,,,,,
Chaplain-Coordinator,,,,,4.61%,5.11%,4.61%,14.32%,,,,,,,,,,
Child Support Officer,Increase Child Support Officer Lead Pay,Increase to 10%,,,4.20%,4.70%,4.20%,13.10%,,,,,,,,,,
Civil Engineer,,,,,4.08%,4.58%,4.08%,12.73%,,,,,,,,,,
Clinical Pharmacist,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.46%,4.96%,4.46%,13.89%,,,,,,,,,,
Clinical Psychologist,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.70%,5.20%,4.70%,14.59%,,,,,,,,,,
Code Enforcement Officer,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.80%,5.30%,4.80%,14.91%,,,,,,,,,,
Communicable Disease Investigator,,,,,4.00%,3.99%,3.49%,11.49%,,,,,,,,,,
Community Health Program Specialist,,,,,4.00%,4.05%,3.55%,11.60%,,,,,,,,,,
Community Health Promotion Specialist II,,,,,4.00%,4.38%,3.88%,12.25%,,,,,,,,,,
Community Health Worker,,,,,4.97%,5.47%,4.97%,15.41%,,,,,,,,,,
Community Healtlh Promotion Assistant,,,,,5.48%,5.98%,5.48%,16.93%,,,,,,,,,,
Community Hlh Promotion Specialist I,,,,,4.54%,5.04%,4.54%,14.13%,,,,,,,,,,
Community Services Officer,Add to boot allowance,$300/year,,,4.15%,4.65%,4.15%,12.95%,,,,,,,,,,
Construction Technician (T) (Construction Engineer),,,,,6.00%,6.50%,6.00%,18.49%,,,,,,,,,,
Cook,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.70%,5.20%,4.70%,14.61%,,,,,,,,,,
Coordinator Volunteer & Public Services,,,,,4.27%,4.77%,4.27%,13.32%,,,,,,,,,,
Coordinator Volunteer Services,,,,,5.09%,5.59%,5.09%,15.77%,,,,,,,,,,
Correctional Counselor,Add to Locked Facilities Premium (where applicable),50 cents/hour,,,4.43%,4.93%,4.43%,13.78%,,,,,,,,,,
Crime Prevention Specialist,,,,,4.30%,4.80%,4.30%,13.40%,,,,,,,,,,
Criminal Legal Secretary I,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Criminal Legal Secretary II,,,,,4.00%,3.78%,3.28%,11.06%,,,,,,,,,,
Criminal Legal Secretary III,,,,,5.93%,6.43%,5.93%,18.29%,,,,,,,,,,
Criminalist I,,,,,5.15%,5.37%,4.87%,15.39%,,,,,,,,,,
Criminalist II,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Criminalist III,,,,,4.92%,4.86%,4.36%,14.14%,,,,,,,,,,
Departmental Clerk,,,,,5.11%,5.61%,5.11%,15.84%,,,,,,,,,,
Departmental Payroll Technician,,,,,4.19%,4.69%,4.19%,13.06%,,,,,,,,,,
Deputy Medical Examiner I,,,,,4.92%,5.42%,4.92%,15.26%,,,,,,,,,,
Deputy Medical Examiner II,,,,,4.61%,5.11%,4.61%,14.32%,,,,,,,,,,
Deputy Public Admin-Guardian (T),,,,,4.00%,4.09%,3.59%,11.68%,,,,,,,,,,
Deputy Sheriff Cadet-Detention/CS,,,,,5.32%,5.82%,5.32%,16.47%,,,,,,,,,,
Deputy Sheriff's Cadet,,,,,4.47%,4.97%,4.47%,13.92%,,,,,,,,,,
Detentions Information Assistant,Add to Locked Facilities Premium (where applicable),50 cents/hour,,,4.00%,4.35%,3.85%,12.19%,,,,,,,,,,
